Date,Open,High,Low,Close
5/27/2021,"38,756","40,401","37,266","38,476"
5/28/2021,"38,476","39,189","35,201","35,245"
5/29/2021,"35,260","37,236","33,687","34,266"
5/30/2021,"34,266","36,354","33,554","36,115"
5/31/2021,"36,080","37,465","34,230","36,677"
6/1/2021,"36,677","37,852","35,792","36,330"
6/2/2021,"36,313","38,213","35,976","37,739"
6/3/2021,"37,739","39,469","37,249","38,693"
6/4/2021,"38,691","39,277","35,626","37,071"
6/5/2021,"37,071","37,942","35,396","35,826"
6/6/2021,"35,857","36,454","34,874","35,897"
6/7/2021,"35,938","36,767","34,155","34,471"
6/8/2021,"34,454","34,630","31,101","33,638"
6/9/2021,"33,625","36,825","32,466","36,406"
6/10/2021,"36,387","38,389","35,850","36,410"
6/11/2021,"36,410","37,537","36,217","37,331"
6/12/2021,"37,331","37,342","35,509","36,041"
6/13/2021,"36,041","38,830","34,982","38,830"
6/14/2021,"40,926","40,926","39,382","39,809"
6/15/2021,"39,836","41,289","39,612","39,949"
6/16/2021,"39,943","40,473","38,364","38,550"
6/17/2021,"38,550","39,510","37,448","37,752"
6/18/2021,"37,752","38,186","35,204","35,493"
6/19/2021,"35,493","36,396","34,888","36,193"
6/20/2021,"36,193","36,193","33,400","35,853"
6/21/2021,"35,853","35,905","31,822","32,622"
6/22/2021,"32,622","33,240","29,002","32,895"
6/23/2021,"32,895","34,789","31,772","33,066"
6/24/2021,"33,066","35,228","32,364","34,857"
6/25/2021,"34,858","35,496","31,508","32,212"
6/26/2021,"32,212","32,638","30,190","31,329"
6/27/2021,"31,315","33,555","30,968","32,648"
6/28/2021,"32,648","35,224","32,493","34,721"
6/29/2021,"34,682","36,548","34,142","36,156"
6/30/2021,"36,156","36,301","34,075","34,585"
7/1/2021,"34,585","35,203","32,819","33,411"
7/2/2021,"33,411","33,955","32,747","33,124"
7/3/2021,"33,124","34,926","33,106","34,715"
7/4/2021,"34,715","35,679","34,297","35,542"
7/5/2021,"35,542","35,945","33,171","33,847"
7/6/2021,"33,847","35,058","33,601","33,941"
7/7/2021,"33,941","35,040","33,724","34,550"
7/8/2021,"34,550","34,550","32,142","32,788"
7/9/2021,"32,788","33,667","32,302","33,508"
7/10/2021,"33,508","34,229","33,098","33,329"
7/11/2021,"33,329","34,077","33,279","33,859"
7/12/2021,"33,859","34,611","32,660","32,833"
7/13/2021,"32,833","33,315","32,239","32,519"
7/14/2021,"32,519","33,066","31,628","32,811"
7/15/2021,"32,811","33,162","31,174","31,748"
7/16/2021,"31,748","32,233","31,085","31,850"
7/17/2021,"31,850","31,932","31,224","31,755"
7/18/2021,"31,755","32,404","31,159","31,663"
7/19/2021,"31,663","31,920","30,568","30,793"
7/20/2021,"30,793","31,004","29,336","29,864"
7/21/2021,"29,864","32,800","29,513","31,864"
7/22/2021,"31,864","32,597","31,716","32,257"
7/23/2021,"32,257","32,879","32,038","32,477"
7/24/2021,"32,477","34,518","32,476","33,919"
7/25/2021,"33,919","34,800","33,851","34,481"
7/26/2021,"34,481","40,502","34,455","37,598"
7/27/2021,"37,598","38,732","36,453","38,000"
7/28/2021,"38,000","40,830","37,988","40,068"
7/29/2021,"40,068","40,630","39,337","39,722"
7/30/2021,"39,722","41,290","38,389","40,860"
7/31/2021,"40,860","42,247","40,693","41,516"
8/1/2021,"41,516","42,551","40,694","41,310"
8/2/2021,"41,310","41,313","38,720","38,857"
8/3/2021,"38,861","39,773","37,768","38,113"
8/4/2021,"38,113","39,851","37,558","39,706"
8/5/2021,"39,745","41,367","37,454","40,908"
8/6/2021,"40,908","43,314","39,942","42,673"
8/7/2021,"42,696","44,557","42,404","43,945"
8/8/2021,"43,945","45,276","43,331","43,855"
8/9/2021,"43,855","46,431","42,832","45,482"
8/10/2021,"45,482","46,608","44,695","45,627"
8/11/2021,"45,627","46,752","45,276","46,340"
8/12/2021,"46,340","46,391","43,844","44,440"
8/13/2021,"44,440","47,775","43,912","47,545"
8/14/2021,"47,545","48,103","46,201","46,665"
8/15/2021,"46,665","47,349","45,615","46,750"
8/16/2021,"46,750","48,047","45,728","46,065"
8/17/2021,"46,065","47,140","44,601","45,017"
8/18/2021,"45,017","45,965","44,283","44,593"
8/19/2021,"44,593","46,831","44,016","46,568"
8/20/2021,"46,587","48,993","46,361","48,653"
8/21/2021,"48,653","49,799","48,374","48,988"
8/22/2021,"49,070","49,466","48,225","48,425"
8/23/2021,"48,425","50,478","48,315","49,509"
8/24/2021,"49,525","49,852","47,856","48,364"
8/25/2021,"48,364","49,147","47,193","48,748"
8/26/2021,"48,721","49,372","46,444","47,048"
8/27/2021,"47,048","49,076","46,383","48,946"
8/28/2021,"48,913","49,306","48,405","48,760"
8/29/2021,"48,760","49,605","47,922","48,897"
8/30/2021,"48,927","49,394","47,500","48,670"
8/31/2021,"48,670","48,679","46,725","46,996"
9/1/2021,"47,008","48,953","46,567","48,279"
9/2/2021,"48,271","50,333","48,268","49,556"
9/3/2021,"49,553","50,999","48,379","50,184"
9/4/2021,"50,152","50,543","49,535","50,195"
9/5/2021,"50,195","51,652","49,527","51,652"
9/6/2021,"51,753","52,142","51,044","51,930"
9/7/2021,"51,930","52,918","43,917","46,777"
9/8/2021,"46,825","47,357","44,548","46,154"
9/9/2021,"46,154","47,384","45,586","46,268"
9/10/2021,"46,265","47,041","44,879","45,094"
9/11/2021,"45,094","46,000","44,304","45,333"
9/12/2021,"45,317","46,198","44,781","45,023"
9/13/2021,"45,023","46,697","43,561","45,144"
9/14/2021,"45,186","46,926","44,724","46,828"
9/15/2021,"46,828","48,436","46,418","47,948"
9/16/2021,"47,941","48,497","47,063","47,102"
9/17/2021,"47,102","48,167","46,775","47,028"
9/18/2021,"47,028","48,797","46,828","48,008"
9/19/2021,"48,008","48,359","47,182","47,588"
9/20/2021,"47,588","47,660","42,636","43,489"
9/21/2021,"43,489","43,904","40,391","40,971"
9/22/2021,"40,971","43,988","39,721","43,445"
9/23/2021,"43,445","44,932","43,051","44,679"
9/24/2021,"44,679","45,076","40,944","43,001"
9/25/2021,"43,001","43,162","41,750","42,719"
9/26/2021,"42,719","43,695","40,827","43,607"
9/27/2021,"43,607","44,318","42,689","42,696"
9/28/2021,"42,708","43,364","41,145","41,792"
9/29/2021,"41,792","42,538","40,806","41,114"
9/30/2021,"41,133","44,110","40,984","43,432"
10/1/2021,"43,432","48,122","43,302","48,110"
